ReferenceID;StartDate;CategoryID;CategoryGroupID;SellerTypeID;SellerMemberID;EndDate;ListingTypeID;IsRelist;IsLiveOnSite;NoOfPhotos;StartPrice
0x9C2F54D999FA5647A5785403E3C63CC4DC338F53;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;9;40,7
0x719DA4CC3CF0D9ED4BFD236D77E25C1CB87593FD;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;9;33,1
0x2E9F6656A2838CD1A55B8B6FA14DDC46573CF416;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;9;29,7
0x78E71B0278D04624E9DDBB2D7E5868B65133B87A;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;9;76,8
0x6B6A578BA3AFFDCFDE4028D6D95B6CCF7137149B;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;9;39,4
0x64873416D23348C59CB187E9BD0307CE23E36937;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;7;29,4
0x52DCE7B266F7D0E83FC90F3E3C9F333E9EB16347;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;7;25,6
0x8C87D8F98CE86362AD140A3631A982BF7C538D9F;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;12;66,3
0xFAE6725313B6E206D4CDFEB6455EB41681AEA310;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;12;83,3
0x5193CB391BFDB8CB2504E5FB9EB61AFBB34D95AC;20161101;8623;7119;4136;0xE8A28ECBAC2B0CF9600C1A3D4E930CB6C7F192F3;20161110;13;0;0;12;61,7
